"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells","CGGA_ID"
"CGGA_1001",0,9.02,1.51,21.7,27.32,17.84,0.29,3.31,0,19.01,"CGGA_1001"
"CGGA_1007",0,0,28.01,8.81,3.13,6.19,0,8.51,0,45.36,"CGGA_1007"
"CGGA_1008",0,0,22.91,0,0.41,2.3,0,0,0,74.38,"CGGA_1008"
"CGGA_1011",0,2.58,11.62,16.52,24.48,10.06,0,3.47,0,31.28,"CGGA_1011"
"CGGA_1015",0,1.72,0,15.59,19.08,63.61,0,0,0,0,"CGGA_1015"
"CGGA_1019",0,0,13.26,16.44,12.76,6.71,0,16.96,0,33.87,"CGGA_1019"
"CGGA_1023",0,0,5.53,6.47,0,0.37,0,1.28,0,86.35,"CGGA_1023"
"CGGA_1024",0.02,0,21.22,8.31,12.01,4.24,0,2.32,0,51.88,"CGGA_1024"
"CGGA_1026",0.01,0,39.51,11.26,2.73,4.83,0,0,0,41.66,"CGGA_1026"
"CGGA_1035",0,0,0,32.69,8.54,40.59,0,0,0,18.18,"CGGA_1035"
"CGGA_1039",0,0,18.79,0,3.9,1,0,12.71,0,63.6,"CGGA_1039"
"CGGA_1045",0,0,17.06,17.26,12.57,20.75,0,0,1.23,31.12,"CGGA_1045"
"CGGA_1049",0,0,3.2,19.78,6.17,25.08,0,1.02,0,44.75,"CGGA_1049"
"CGGA_1053",0,1.35,19.63,9.15,13.7,3.52,0,26.63,0,26.01,"CGGA_1053"
"CGGA_1070",0,0.07,17.94,7,4.23,6.04,0,0.48,0,64.24,"CGGA_1070"
"CGGA_1072",0,0,15.08,0,16.2,0,0,1.49,0,67.24,"CGGA_1072"
"CGGA_1073",0,0,38.46,13.56,6.37,12.86,0,4.58,0,24.16,"CGGA_1073"
"CGGA_1074",0,1.27,14.09,16.78,19.54,6.37,0,5.86,0,36.09,"CGGA_1074"
"CGGA_1077",0,0,6.52,25.23,17.1,11.76,0,0.69,0,38.7,"CGGA_1077"
"CGGA_1078",0.02,1.22,10.14,17.23,19.28,0,0,6.56,0,45.56,"CGGA_1078"
"CGGA_1083",0,0.14,17.17,16.74,32.73,16.41,0,0,0,16.82,"CGGA_1083"
"CGGA_1091",0.01,0,11.4,12.36,4.66,2.7,0,0.89,0,67.98,"CGGA_1091"
"CGGA_1109",0,0,30.93,3.48,3.01,0,0,0.52,0,62.06,"CGGA_1109"
"CGGA_1114",0,0,0,30.4,7.73,39.68,0,0,0,22.18,"CGGA_1114"
"CGGA_1124",0,0.46,3.07,25.17,24.71,20.83,0,3.72,3.36,18.67,"CGGA_1124"
"CGGA_1139",0.01,1.63,12.01,16.96,0,3.58,0.61,5.93,0,59.28,"CGGA_1139"
"CGGA_1171",0,0,4.6,21.32,34.9,3.82,0,23.2,0,12.15,"CGGA_1171"
"CGGA_1177",0,0,12.03,38.54,7.67,40.29,1.48,0,0,0,"CGGA_1177"
"CGGA_1180",0.01,0,6.7,16.98,8.47,7.78,0,3.21,0,56.86,"CGGA_1180"
"CGGA_1214",0,0,16.43,9.59,4.89,1.75,0,2.42,0,64.91,"CGGA_1214"
"CGGA_1216",0,0.33,0.01,19.54,3.06,1.2,0,4.1,0,71.74,"CGGA_1216"
"CGGA_1224",0,0,0,18.35,43.15,25.64,0,0.95,0.59,11.32,"CGGA_1224"
"CGGA_1227",0,0,23.93,4.75,0,0,0,2.8,0,68.51,"CGGA_1227"
"CGGA_1234",0,0.81,16.11,16.85,14.86,12.11,0,24.73,0,14.52,"CGGA_1234"
"CGGA_1237",0,0,13.27,8.43,2.31,0,0,1.08,0,74.91,"CGGA_1237"
"CGGA_1240",0,0,8.31,23.46,16.68,34.24,0,1.69,0,15.63,"CGGA_1240"
"CGGA_1251",0,0,13.8,0,6.85,0,0,34.7,0,44.64,"CGGA_1251"
"CGGA_1258",0,0,10.48,13.05,8.75,1.4,0,5.62,0,60.69,"CGGA_1258"
"CGGA_1271",0,0,0,13.71,0.12,45.02,0,0.25,0,40.9,"CGGA_1271"
"CGGA_1275",0,0,25.78,15.07,4.45,20.01,0,8.4,2.33,23.96,"CGGA_1275"
"CGGA_1285",0,0.31,12.64,21.85,4.99,9.15,0,3.21,6.45,41.4,"CGGA_1285"
"CGGA_1299",0,0.33,8,12.3,0,10.6,0.66,1.41,0,66.69,"CGGA_1299"
"CGGA_1313",0,0,14.74,19.29,11.17,19.24,0,1.38,0,34.19,"CGGA_1313"
"CGGA_1320",0.01,0.93,0.14,12.65,0,0,0.54,0.85,0,84.88,"CGGA_1320"
"CGGA_1332",0,0,20.97,0,0,0.79,0,2.85,0,75.39,"CGGA_1332"
"CGGA_1338",0,0,0.26,22.87,2.64,35.19,0,5.02,0,34.02,"CGGA_1338"
"CGGA_1342",0,0,0,23.95,15.94,54.76,0.45,0,0,4.9,"CGGA_1342"
"CGGA_1343",0,0,13.82,6.75,3.85,5.93,0,0,0,69.66,"CGGA_1343"
"CGGA_1370",0,0,21.11,0,0,5.66,0,0,0,73.23,"CGGA_1370"
"CGGA_274",0,0,0,7.13,0,31.14,0,1.02,0,60.71,"CGGA_274"
"CGGA_413",0.01,0,9.56,16.02,15.26,3.56,0,3.76,0,51.81,"CGGA_413"
"CGGA_483",0,0,0,14.89,15.38,36.22,0,0,0,33.52,"CGGA_483"
"CGGA_494",0,0,10.05,13.01,0,0,0,72.61,0,4.33,"CGGA_494"
"CGGA_499",0.01,0,17.79,0.88,6.91,5.92,0,5.63,0,62.86,"CGGA_499"
"CGGA_525",0,0.69,2.06,19.06,23.83,36.3,0,2.56,0,15.48,"CGGA_525"
"CGGA_604",0,0,14.77,24.77,20.24,22.29,0,0.55,0,17.38,"CGGA_604"
"CGGA_624",0,0,15.06,22.11,15.84,14.72,0,2.71,0,29.56,"CGGA_624"
"CGGA_658",0,0,19.34,11.29,16.19,3.22,0,25.06,0,24.9,"CGGA_658"
"CGGA_669",0,0,15.09,6.83,0,0,0,57.14,0,20.94,"CGGA_669"
"CGGA_676",0,0,10.62,12.51,9.11,7.12,0,11.32,0,49.32,"CGGA_676"
"CGGA_679",0,0.92,13.29,14.25,12.45,5.74,0,24.01,0,29.33,"CGGA_679"
