"","TCGA-06-0210-01A-01R-1849-01","TCGA-06-0190-01A-01R-1849-01","TCGA-06-0211-01B-01R-1849-01","TCGA-19-4065-02A-11R-2005-01","TCGA-14-1034-02B-01R-2005-01","TCGA-06-0190-02A-01R-2005-01","TCGA-06-0125-01A-01R-1849-01","TCGA-06-0211-02A-02R-2005-01","TCGA-06-0125-02A-11R-2005-01","TCGA-06-0210-02A-01R-2005-01","TCGA-19-4065-01A-01R-2005-01","TCGA-14-1034-01A-01R-1849-01"
"A1BG",59,16,103,37,18,19,91,97,40,35,73,6
"A1BG-AS1",153,69,240,114,27,71,287,206,253,116,237,15
"A1CF",0,2,0,0,0,0,1,0,1,1,0,1
"A2M",111118,112182,71787,46322,35048,120039,33131,74935,42300,113164,79707,195223
"A2M-AS1",66,45,28,69,16,42,35,21,21,53,48,44
"A2ML1",48,39,103,19,81,5,154,73,168,91,127,471
"A2ML1-AS1",0,0,0,0,0,0,0,1,0,1,0,0
"A2ML1-AS2",0,0,0,2,0,0,0,0,0,0,0,0
"A2MP1",8,12,7,10,7,6,6,10,0,7,24,5
"A3GALT2",56,8,11,4,5,11,9,10,6,17,14,3
"A4GALT",68,552,209,558,31,2033,335,289,1205,236,204,108
"A4GNT",4,4,1,14,5,6,8,0,9,5,21,1
"AAAS",2549,1930,3301,1817,1569,1490,3159,1981,1352,2134,2354,1595
"AACS",1332,1015,1132,1243,492,1105,1435,1002,1178,956,1097,729
"AACSP1",6,0,8,8,2,2,7,1,4,9,0,0
"AADAC",0,0,1,0,0,0,1,4,0,1,0,0
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0
"AADACL2-AS1",0,1,0,0,1,0,1,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,0
"AADACP1",4,2,3,1,1,2,3,7,0,3,8,1
"AADAT",730,366,665,388,286,348,1011,434,325,587,564,222
"AAGAB",2152,2042,2952,3294,2651,1312,2402,2238,1767,1817,2840,2230
"AAK1",2444,1780,2360,4124,1185,2498,2363,1571,2918,2683,2778,1303
"AAMDC",525,402,650,448,408,397,582,555,568,609,882,582
"AAMP",6230,4597,6327,3747,4210,3987,6338,4271,4440,6431,5258,5288
"AANAT",31,74,25,37,8,36,31,10,12,27,59,8
"AAR2",2261,1990,3896,1885,1832,1696,3585,2702,1821,2468,2091,1798
"AARD",2,1,6,4,0,2,2,1,1,3,2,0
"AARS1",11611,9062,11882,7993,10071,7815,11634,6895,15971,11045,7399,7031
"AARS1P1",0,0,0,0,0,0,0,0,0,0,0,0
"AARS2",885,766,1291,853,734,717,1152,838,691,1094,637,844
"AARSD1",319,208,312,238,300,137,516,220,161,280,267,84
"AARSD1P1",15,8,13,18,8,6,26,5,8,11,14,13
"AASDH",767,543,812,378,853,469,793,595,829,620,792,518
"AASDHPPT",3640,2003,4318,2027,2982,1142,4157,3030,3175,2625,4716,2506
