"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"HSPG2",0.011020766,0.019183099,1.372671116,0.014348711,0.007397807,0.178650417,0.0064892,0.015880596,0.00811532,0.033480922
"C1QA",0.3860556,1.3673316,0.3917204,2.1617823,2.8800113,0.3318843,0.5683776,0.3381238,0.3567033,0.1942148
"C1QC",0.2616361,1.0148931,0.2996437,1.8475147,2.5884515,0.2303673,0.4027431,0.2330784,0.2441544,0.1233948
"C1QB",0.4505585,1.4087711,0.4694518,2.3276907,3.2512591,0.4026465,0.6431126,0.3917825,0.4205417,0.2352104
"CD52",1.01133644,0.53576852,0.05632297,0.30841208,0.10376413,0.03356083,1.66471351,0.02328096,1.72157565,0.02242925
"LAPTM5",0.8793488,1.5762156,0.5358951,2.0976368,2.0377401,0.2574865,1.1050898,0.2537799,1.1305187,0.148421
"ADGRL4",0.0037602921,0.0006484071,1.5254206829,0.0025830985,0.0015850171,0.0331016919,0.0016286702,0.0017816545,0.0022192889,0.0040453966
"C1orf162",0.12853812,1.28290317,0.05799619,0.97560629,0.82007866,0.03366378,0.09177747,0.03858389,0.14918115,0.0264081
"CD2",0.17259267,0.1443704,0.03881126,0.04248544,0.02858491,0.01449599,1.50880206,0.02006353,1.448606,0.0127747
"TXNIP",1.5560933,1.7635906,0.6950235,1.3388734,1.0829357,0.5794651,1.9260107,0.3986337,2.2413847,0.5386261
"CTSS",0.60372455,1.28613952,0.32294945,1.48546674,1.35776077,0.17440796,0.44390202,0.10946388,0.39518098,0.07411837
"S100A9",0.23171862,0.48938392,0.23804911,1.36701704,0.9146012,0.13183297,0.20173568,0.08840275,0.23398623,0.07264618
"S100A4",0.6280341,1.5980504,0.3350868,1.8720079,1.2273399,0.3881864,1.533534,0.224287,2.2414697,0.1405043
"C1orf61",0.17107489,0.09114261,0.36091565,0.13182379,0.12336106,0.5965788,0.36010728,0.76936969,0.25103269,2.02865297
"BCAN",0.09028596,0.0529617,0.24932793,0.05952251,0.04977905,0.3559184,0.15818107,0.37305119,0.1188028,1.5522169
"FCRL5",0.7100355326,0.016525437,0.001748058,0.0003419333,0.0003127476,0,0.0006938046,0,0.0007370954,0.0002559393
"FCER1G",0.3109036,1.3700182,0.3330749,2.0486665,2.1520866,0.2479508,0.5008864,0.2300572,0.2626099,0.1207701
"FCGR3A",0.12057165,0.70586109,0.1960171,1.23234831,1.63087084,0.13983464,0.24281237,0.10299932,0.09757188,0.06200175
"PTPRC",0.73528472,1.44184205,0.26601574,1.10645431,1.1834732,0.15592035,1.98948987,0.11817956,1.76967401,0.07011403
"EPAS1",0.0127473,0.01669965,1.77551704,0.09894522,0.04220782,0.50101999,0.02478936,0.02603841,0.03927174,0.15316243
"IGKC",3.69570657,0.39132686,0.13260393,0.2152097,0.13339722,0.03601831,0.43943192,0.05265575,0.47998551,0.03259387
"DUSP2",0.45013497,0.56146076,0.08252616,0.36348239,0.41236735,0.04876449,1.26194892,0.03330062,0.75244847,0.02235096
"CXCR4",1.23733473,1.3684267,0.39299088,0.91231626,0.84335916,0.16822212,2.14330228,0.11338579,2.06438625,0.08840831
"ERMN",0.012227076,0.005566551,0.006861958,0.012707121,0.011358803,0.008938543,0.012198643,1.814404514,0.011474731,0.019899463
"CYTIP",0.49307322,0.4819535,0.03285625,0.26847767,0.16742239,0.01655969,0.78835613,0.01509824,0.91476847,0.01405488
"COL3A1",0.003500182,0.007891066,0.135623906,0.016071192,0.015876594,2.077703893,0.008266439,0.027375349,0.006627508,0.047990597
"FN1",0.10859473,0.46184993,1.14143183,1.05726995,0.57525939,2.26044795,0.09415422,0.13777578,0.08499051,0.2673495
"IGFBP2",0.1705094,0.1076258,0.5153166,0.174301,0.1160541,1.8255736,0.5350461,0.4561832,0.3012876,2.2120247
"EFHD1",0.002081903,0.001945221,0.072688271,0.005983698,0.003151301,0.135244855,0.003554599,1.463068854,0.001969487,0.019090378
"COL6A3",0.001880146,0.001945221,0.022393341,0.005763165,0.003744401,1.174478827,0.009837701,0.019582497,0.031723511,0.012733177
"CLDND1",0.122746,0.1802348,0.2492657,0.1619554,0.1553789,0.2310842,0.409079,2.2283848,0.2657063,0.4092851
"GAP43",0.0858139,0.05422692,0.25452464,0.07973076,0.05727264,0.62622185,0.15159593,0.30052223,0.12603867,1.53421837
"TF",0.003133577,0.008160179,0.020656427,0.010498112,0.007592519,0.034864039,0.005978813,2.481603258,0.007943093,0.078414907
"CLDN11",0.002873466,0.007891066,0.024052997,0.011947241,0.00960678,0.457953728,0.004396851,2.13783273,0.005071816,0.079395295
"SOX2",0.08871004,0.0353329,0.24334563,0.06390309,0.04011088,0.38496351,0.15675186,0.66002755,0.12558562,1.51815831
"APOD",0.03478919,0.02195388,0.25037854,0.03685353,0.05980899,1.70811007,0.02635083,1.22563011,0.03530731,0.67484831
"QDPR",0.04283065,0.09164682,0.06200122,0.11366726,0.11354812,0.13403147,0.06148817,2.19780314,0.06478719,0.35675829
"IGFBP7",0.03970831,0.17932047,3.13647621,0.08558482,0.05672775,2.71300046,0.059042,0.0992233,0.04150623,0.53693855
"JCHAIN",2.428561445,0.057560226,0.01379447,0.010925896,0.005796981,0.003965707,0.023229612,0.003001445,0.024145489,0.002035396
"AREG",0.38412797,1.50971249,0.11484644,0.81668729,0.1849184,0.17993171,0.44889693,0.0207496,0.65909999,0.0176269
"SPARCL1",0.05017516,0.05116484,2.66678172,0.10499213,0.07958235,2.01421175,0.07143514,0.20943065,0.0780449,1.21954561
"ABCG2",0.002246751,0.006214958,1.39999497,0.00791064,0.015170957,0.037136628,0.00278651,0.001704507,0.003641039,0.009301443
"TMEM144",0.006835516,0.069931517,0.028746859,0.106072587,0.130300523,0.016913708,0.00415579,1.589026737,0.004278661,0.0292036
"SCRG1",0.06953052,0.10666328,0.20128811,0.0861754,0.0722792,0.31069203,0.09880006,0.52662499,0.10850718,1.34824355
"GPM6A",0.072178,0.0257286,0.19923047,0.04587797,0.02845068,0.29666212,0.07412841,0.22483404,0.08537036,1.34899938
"BASP1",0.37495243,1.06718663,0.07185084,0.54930564,0.64237118,0.26958045,0.03171946,0.04800721,0.0412297,0.25326225
"IL7R",0.17470261,0.31128556,0.0550408,0.15500372,0.089417,0.04513625,0.70754268,0.01308734,1.9543721,0.01558489
"SELENOP",0.04687373,0.0814105,0.41301968,0.47543932,0.37509973,0.33643894,0.03106046,2.49696884,0.03192304,0.26433954
"GZMK",0.19803904,0.091232466,0.042247837,0.035980803,0.021158554,0.014156205,1.732131562,0.011475418,0.312269102,0.007337675
"GZMA",0.199662355,0.087717615,0.040153835,0.037767447,0.026486052,0.018349067,1.899745151,0.013090671,0.538400963,0.008335053
"EDIL3",0.003500182,0.001945221,0.207885118,0.004912899,0.003214637,0.181657561,0.001311994,1.678234663,0.002988054,0.030953979
"MZB1",1.541639849,0.017287686,0.010373438,0.005119652,0.00242167,0.00203493,0.061411995,0.001736093,0.08723816,0.002071414
"CD14",0.19563199,0.76428014,0.26361871,1.60701746,1.75430081,0.19957082,0.22554863,0.1622928,0.16793317,0.09121607
"CD74",2.140821,4.2293936,0.97474,3.0965596,3.5504793,0.5263228,1.6347123,0.5761523,1.2305232,0.3408012
"SPARC",0.04976143,0.04399418,2.84248987,0.14161749,0.09056098,2.21964696,0.06254698,0.83319845,0.07164499,0.96579677
"TUBB2B",0.17459609,0.07703659,0.28869412,0.10548147,0.08521402,0.54298487,0.33542958,1.00076526,0.23787951,1.95022337
"LTB",0.61429428,0.46557697,0.05191256,0.06135178,0.04681323,0.01601855,0.51729319,0.01013146,1.53613481,0.01310088
"LST1",0.09532139,1.16540138,0.06012927,0.92053284,1.06219985,0.04975533,0.07582187,0.05179982,0.13412199,0.0651322
"AIF1",0.2883957,1.8370974,0.3156199,1.9229222,2.1229656,0.220394,0.4330376,0.2262387,0.2616747,0.1259624
"HLA-DRA",1.5443533,4.2152653,0.673369,2.8473672,3.2081125,0.4584339,1.1393855,0.4407907,0.7666764,0.2939256
"HLA-DRB1",1.2644203,3.6822233,0.6024652,2.2775738,2.5302052,0.2935731,1.3200273,0.301898,0.8216371,0.1764312
"HLA-DQA1",0.61947697,2.4172224,0.07493125,0.7295469,0.91457437,0.02691008,0.2331767,0.02664564,0.16225417,0.01782177
"HLA-DQB1",0.65238617,2.36974823,0.20200727,1.0960405,1.34195632,0.12008834,0.34667738,0.06997824,0.23903754,0.04687858
"HLA-DMB",0.30101717,1.07112359,0.04259328,0.74412491,1.03643921,0.02892691,0.11449174,0.03295489,0.04976022,0.01817663
"HLA-DMA",0.42386907,1.6338453,0.18379183,1.07963239,1.35789737,0.12119314,0.27099774,0.07967251,0.16956039,0.05416814
"HLA-DPA1",1.0475693,3.5712217,0.4483762,1.9929115,2.4567837,0.2732515,0.9967155,0.2615079,0.5917361,0.1714164
"HLA-DPB1",0.9840613,3.5229106,0.3801535,1.8676004,2.222714,0.2919439,1.0771497,0.2468282,0.5551985,0.1667164
"TREM2",0.08693799,0.56602158,0.16917216,1.05764935,1.64266913,0.13271645,0.07712937,0.08634172,0.0638974,0.05285688
"FABP7",0.12968332,0.06720447,0.26871763,0.09541958,0.07239771,0.50236023,0.26437533,0.30823168,0.19152578,1.84205784
"CCN2",0.0006267154,0.0038904425,1.633617134,0.0065900064,0.0085245895,0.6557298174,0.0023168896,0.0138298569,0.0038240216,0.0427594312
"TNFAIP3",0.37496756,0.59867686,0.25058262,0.78332429,0.80212816,0.34272649,1.03031674,0.05957502,1.37583707,0.06289028
"RNASET2",0.6170939,1.4896567,0.3206963,1.576134,2.1989347,0.3832203,0.6294583,0.2507255,0.7122341,0.2255427
"ANLN",0.006740253,0.013078322,0.036324884,0.025774576,0.014204152,0.053662725,0.014484007,1.578554903,0.005210459,0.0656458
"IGFBP3",0.007000363,0.006289834,1.547554088,0.014729651,0.008146488,0.219065627,0.016517018,0.029498517,0.019895871,0.271542424
"FGL2",0.07039592,1.04625731,0.05108061,0.55406083,0.5913461,0.06532083,0.04411823,0.0243853,0.05335367,0.01640188
"GNG11",0.001880146,0.008808586,1.676382891,0.012947906,0.011702152,0.698234581,0.006701118,0.026833023,0.011524335,0.150058379
"COL1A2",0.01718245,0.01923291,0.16034358,0.02131594,0.01925797,2.19543513,0.01436551,0.04998544,0.01771309,0.15380487
"PTPRZ1",0.2800875,0.1423797,0.6267684,0.1921185,0.174884,0.7496289,0.5437897,0.6297609,0.366455,2.7873692
