"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"TNFRSF18",14.199683,14.237389,4.648848,3.807244,2.034263,1.018349,42.018704,8.508421,253.67166,3.251143
"TNFRSF4",6.363495,15.411621,53.622491,4.864469,5.077475,1.821567,16.808151,1.635185,202.731283,1.528752
"MXRA8",1.9981342,0.6302208,3.6022883,0.5435978,0.5449613,109.2671707,0.679725,3.4987965,0.6362468,9.3806376
"VWA1",1.7034103,0.8456217,189.8623257,1.7350849,1.3835448,19.8150347,0.7864298,160.3629931,1.4155556,30.3744983
"SLC2A5",25.285242,28.573541,11.713485,112.164592,241.640896,12.194255,4.997783,8.246857,4.437236,6.573819
"EFHD2",21.82702,117.93618,45.85538,108.26002,70.98887,31.45168,69.92614,14.64126,55.74722,23.339
"CAMK2N1",6.369711,1.527104,19.812649,9.195574,3.681864,115.363474,9.288822,908.021211,11.861028,169.912098
"ECE1",18.583312,17.54049,371.40365,12.701036,2.009303,135.836374,23.110923,36.242924,26.527635,45.09028
"HSPG2",4.275459,4.775239,1277.605988,4.505325,2.198426,57.214839,3.361674,5.64598,3.58061,10.299796
"C1QA",112.6396,1011.79065,94.71509,1802.59828,2552.97473,84.2729,78.04805,86.14832,55.60794,42.87722
"C1QC",47.41253,478.21861,39.07971,993.46266,1545.98917,34.23716,31.53114,37.36104,22.62513,18.21238
"C1QB",145.63641,1131.06265,134.10997,2324.31876,3645.43211,106.96341,91.19593,103.01696,69.90897,52.53196
"ID3",35.6498,25.76093,466.44622,30.13761,16.13365,376.56453,21.02611,39.99058,30.7127,245.80762
"RUNX3",23.765485,35.875342,4.699701,12.913854,7.341445,2.003995,193.241675,2.291592,88.103749,1.394183
"CD52",1126.82348,370.86617,32.9764,190.42531,56.26604,22.85855,2236.97637,18.41425,2000.70021,17.35736
"SYTL1",17.3019699,4.3137989,0.5511192,1.4560796,0.4801794,0.527329,27.9906977,0.4329723,24.2450397,0.5285884
"LAPTM5",326.98675,617.19364,124.88266,1082.50803,985.1489,54.9751,336.81102,49.97155,357.59187,32.58745
"LCK",23.880189,8.585305,5.010243,3.334458,2.168163,1.638292,248.140288,3.149387,217.137838,1.709517
"MARCKSL1",40.580908,52.084377,218.620847,26.650422,7.631811,132.587539,30.257234,551.258126,30.522369,429.570455
"MFSD2A",4.884197,8.736392,411.677901,6.719288,5.587653,10.411825,1.740044,9.874409,1.996285,15.576008
"SMAP2",167.65477,206.02553,66.99742,141.46422,185.89902,25.71001,170.85813,46.91617,194.32775,30.2803
"TIE1",0.4180102,0.1380526,267.0343516,0.4185746,0.424656,1.7338681,0.6029017,11.6706631,0.363993,0.4519409
"NFIA",7.064635,12.5831,150.159583,30.619492,32.659317,124.023637,8.461079,157.836488,13.492262,204.879544
"DNAJC6",0.6026652,0.305764,4.6233137,0.7082145,0.3151264,2.7982354,0.8078463,248.509519,0.8201713,10.3831064
"TTLL7",0.7489913,1.033132,1.6307262,0.993789,0.5597995,11.4127536,0.8730386,240.2373638,1.5413143,26.584581
"LMO4",61.84825,74.16889,68.50663,62.64552,60.99183,144.7292,63.65538,256.70841,73.44063,315.40769
"ARHGAP29",0.3282196,0,123.8566319,0.4546019,0.153599,60.1428547,0.3227437,1.8149169,0.5398966,4.1648611
"F3",2.7517586,0.8060009,25.2341976,3.9080601,1.7121858,213.5298935,2.0469611,21.6302297,2.2434499,81.6732301
"CNN3",13.86088,4.697945,184.924052,11.752264,5.574798,344.262271,8.557759,82.18469,10.18443,312.736355
"PALMD",0.06661058,0.14054597,125.64753308,0.18778727,0.10544784,7.56498553,0.22102401,0.39406535,0.60496566,2.07493821
"SORT1",9.181946,57.103442,473.425934,70.181976,98.191731,107.494952,8.791872,881.778007,6.035126,123.000234
"CD53",163.87211,313.37407,25.488208,317.59246,347.253656,12.67844,333.123365,16.981858,318.956002,8.377228
"C1orf162",28.594877,384.761005,18.149336,258.872229,204.474076,9.564675,24.088757,9.473909,35.060285,6.248171
"PTPN22",9.7369788,17.2257312,1.4298673,8.9994481,6.3303508,0.8245728,70.9964908,1.9392397,50.7263341,0.7225931
"OLFML3",1.469886,26.790138,9.814082,44.323527,98.914576,93.180787,1.924217,5.534446,1.398586,2.880983
"CD2",45.2233,28.714808,9.484841,8.772678,6.41136,4.193673,819.37586,13.131933,681.85128,5.607142
"TXNIP",634.06951,669.78826,139.46176,425.47399,279.43549,141.85031,822.42111,64.82377,1120.98966,106.69266
"FCGR1A",13.921319,140.055126,8.40313,244.263208,439.806484,8.774227,9.455765,12.316608,7.293271,5.374655
"PLEKHO1",66.03434,216.7964,75.40815,123.23691,157.97486,48.56647,78.5855,16.00539,69.28127,63.63289
"CTSS",195.91917,593.56002,91.30733,867.80453,640.10943,37.78816,155.12887,22.29123,127.01012,16.99806
"CTSK",0.9424809,1.0846743,6.9212348,7.2848115,2.2583403,132.0636526,2.4821425,6.2148176,3.1213969,12.1052925
"S100A9",171.71901,358.03583,182.28925,3107.08527,711.4597,43.0659,110.77633,44.74352,125.05733,32.38383
"S100A8",80.75191,124.96915,86.97135,1730.10383,388.76603,30.46655,54.84245,28.6361,68.65601,17.67558
"S100A4",329.46263,1723.60331,99.51199,2165.90064,1162.8314,202.23553,1353.10569,80.6647,2860.20889,68.35755
"S100A16",2.346719,3.019567,257.38178,13.536504,4.738522,202.680118,9.046388,124.522153,11.326905,319.152945
"S100A1",2.485443,4.725474,7.528066,15.489569,34.776137,39.375917,5.551628,1025.607578,5.384923,78.048439
"SYT11",3.345671,6.242528,28.339565,6.95446,6.683081,21.760845,10.030819,215.307959,8.447508,79.495556
"C1orf61",32.37655,16.89485,131.46734,44.56975,29.62694,528.58842,39.48968,358.40848,62.49565,1933.18447
"HAPLN2",0.1151558,0.8492448,2.3334117,0.8090119,0.3548162,2.4467859,0.609894,456.201196,0.2675639,7.8161195
"BCAN",10.997515,5.274149,35.626103,9.009013,5.955638,119.244777,10.171382,124.030312,14.915609,747.240052
"NES",1.9932462,0.7298649,35.9818911,2.0894773,1.1536889,35.3794597,1.6537614,12.7172668,2.1290397,74.5470203
"FCRL5",53.85505886,2.06801723,0.07156093,0.01831114,0.02237198,0,0.06625626,0,0.06996585,0.03508652
"MNDA",23.580287,316.646282,10.299733,249.739547,230.362191,17.629723,10.24748,9.787027,8.521089,4.236385
"PYHIN1",7.5219789,1.8588505,0.7049412,1.0109283,0.6533335,1.1130567,109.2320978,1.6782763,52.0657738,0.5864628
"AIM2",64.5439308,26.0053197,1.1719114,5.0780144,4.5154813,4.0554518,18.0070232,0.4020211,23.2079344,1.4469536
"FCER1A",2.52425338,136.1652326,0.22856585,7.0041805,0.70527899,1.11075428,0.51138475,0.33043854,0.51618502,0.08374944
"CD84",32.472551,110.863175,10.975593,175.119116,236.672566,8.615712,96.926533,9.73166,69.891131,4.094804
"CD48",86.665975,94.980517,4.341439,36.617995,16.322173,1.893452,209.38142,2.830734,190.201579,2.452068
"SLAMF7",37.3372174,46.2475059,0.4914556,3.5727765,1.2043737,0.1532457,44.6146843,1.0515562,6.4512014,0.1831867
"LY9",33.5566214,3.13598085,0.03679937,0.78088216,0.27547759,0,23.0268066,0.35667253,13.9567199,0.17861156
"FCER1G",117.62294,1000.70404,98.28938,1825.26429,1962.13113,85.09693,163.87338,70.52135,60.2308,39.06949
"FCGR2A",24.22559,292.61808,29.38232,441.88147,459.0579,27.69773,17.04641,18.0873,11.75918,17.09667
"FCGR3A",13.530182,123.820357,10.952396,235.115778,330.573944,8.716155,32.88534,10.802994,8.214761,5.004532
"RGS5",3.748567,2.653776,574.969631,1.603122,2.845863,1044.229114,1.468015,6.532056,2.173728,5.007644
"CD247",13.1405161,2.936255,1.4527392,1.9144023,1.3601725,0.7631316,184.7403039,1.8179717,136.4608027,1.347427
"ATP1B1",4.934076,18.624973,12.659798,17.624319,25.179016,16.31939,9.049517,440.248584,15.608121,46.003927
"PRRX1",7.718174,0.660032,37.988922,4.228543,1.701969,361.035256,3.952029,24.877261,2.925882,133.124014
