"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"VWA1",0.01717902,0.01683817,3.41268293,0.02904824,0.02461014,0.32411948,0.01018112,2.36363636,0.01973407,0.5253073
"SLC2A5",0.13110307,0.16463985,0.04878049,0.70709688,1.57970882,0.06197058,0.0264709,0.04397962,0.02342761,0.03626832
"EFHD2",0.2703436,1.6913003,0.52,1.4522128,0.971674,0.3245653,0.7647626,0.1681416,0.6763402,0.2819792
"MICOS10",0.2477396,0.7418148,1.0068293,1.2303355,1.352126,2.1818992,0.3069339,0.4977206,0.3294639,1.098682
"CAMK2N1",0.05877034,0.01590271,0.19804878,0.10719371,0.04072247,1.33259028,0.09087986,10.25958702,0.12674124,2.08734306
"ECE1",0.098553345,0.110383536,1.924878049,0.066554651,0.009807505,0.697280428,0.092594577,0.169482435,0.115027438,0.23918688
"HSPG2",0.01717902,0.02899906,6.81365854,0.02420687,0.01154362,0.30717789,0.01135998,0.02440333,0.01308569,0.05086111
"C1QA",1.0533454,8.1955098,0.9121951,14.409153,20.3758224,0.7342844,1.0831636,0.7841244,0.6957577,0.3885164
"C1QC",0.6066908,4.5565949,0.5882927,9.5015094,14.6071211,0.4436023,0.7035687,0.4765353,0.4310891,0.2299185
"C1QB",1.3797468,9.453695,1.2292683,19.2937005,30.1449805,0.9705751,1.2773551,0.9584339,0.8588012,0.4869191
"ID3",0.2296564,0.2029935,2.9512195,0.2181466,0.1168372,2.849309,0.1216376,0.2590507,0.189637,1.8328568
"RUNX3",0.39059675,0.69223573,0.07219512,0.22088056,0.12911184,0.02229157,2.28292787,0.02011263,1.14478683,0.01534871
"RSRP1",1.238698,1.4359214,1.3785366,1.0397847,1.0154118,0.8109675,2.4034937,1.3126844,1.9602153,0.8796588
"STMN1",0.4620253,0.655753,1.084878,0.6841431,0.5138584,1.1440036,1.2397385,7.9533387,0.5700718,3.3382469
"SH3BGRL3",3.143761,7.276894,3.57561,9.355955,5.689206,3.601427,10.641196,2.39528,9.613972,2.470436
"CD52",3.90235081,1.53882133,0.12780488,0.76724383,0.22280093,0.07534552,6.46736684,0.05470636,6.60373575,0.0514527
"LAPTM5",2.5253165,4.9139383,1.0439024,8.4358945,7.6686464,0.5216228,2.6776337,0.4953071,2.8479316,0.3041478
"MARCKSL1",0.6283906,0.7745557,2.8429268,0.3961668,0.1334369,1.6513598,0.6611296,6.845535,0.5506543,5.6188457
"C1orf122",0.278481,0.3741815,0.8360976,0.5312126,0.4342105,1.8488631,0.3957775,2.533387,0.3718869,1.9366989
"PPT1",0.20434,2.2404116,0.5414634,1.6457823,1.7558175,0.3865359,0.3298682,0.4982569,0.3319966,0.5014954
"SMAP2",1.915009,2.3620206,0.6614634,1.5326081,2.0687439,0.2741864,1.6142964,0.4698311,2.0007387,0.3065635
"NFIA",0.1084991,0.1768007,1.7482927,0.3878795,0.4156311,1.521177,0.1481085,1.8972915,0.1953356,2.5386347
"JAK1",0.8698011,1.1459308,2.6165854,0.9329327,0.7386087,1.2157824,1.6829922,0.6446769,1.8102575,0.4892526
"DNAJC6",0.002712477,0.003741815,0.022439024,0.006521615,0.002802144,0.018279091,0.005144143,1.957093054,0.005698607,0.093176888
"ADGRL4",0.0072332731,0.0009354537,6.0195121951,0.0050976818,0.0025280214,0.0592955863,0.0030007502,0.0026816841,0.0036935416,0.0065897588
"TTLL7",0.01265823,0.02057998,0.02829268,0.01868201,0.0105385,0.19482835,0.01339621,4.0568517,0.02617138,0.50445343
"LMO4",0.5786618,0.6361085,0.6653659,0.5439711,0.5229045,1.2657156,0.6627371,2.1568785,0.711165,2.6858115
"ARHGAP29",0.005424955,0,3.284878049,0.012616051,0.004203216,1.721355328,0.006323009,0.04719764,0.008231321,0.118336291
"CNN3",0.09312839,0.04209542,1.41560976,0.10075753,0.04580897,2.81230495,0.06430179,0.64038616,0.08495146,2.67951752
