"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"VWA1",-0.52784832,-0.54423486,5.46225028,-0.49680182,-0.50859781,0.03394239,-0.37775365,3.58274807,-0.398713,0.37037975
"SLC2A5",-0.4884918,-0.4886252,-0.61248,0.3206787,1.5625843,-0.6101917,-0.5167705,-0.5892695,-0.5731103,-0.6560457
"EFHD2",-0.424464782,0.947722602,-0.169978542,0.718295372,0.237471962,-0.366963333,0.121705579,-0.492794502,-0.007647609,-0.445789106
"MICOS10",-0.74512675,-0.35173245,-0.01348959,0.09003922,0.19299052,0.8619364,-0.47552808,-0.51865444,-0.50554595,-0.02474249
"CAMK2N1",-1.0523026,-1.1089475,-0.7794312,-0.9914125,-1.0530854,0.1826261,-0.7979689,8.69571,-0.8028331,0.9259826
"ECE1",-0.10606278,-0.10837235,4.2756104,-0.20372664,-0.34675232,1.37566886,-0.05572497,0.08562012,-0.03451108,0.20195495
"HSPG2",-0.2106338,-0.1927835,24.7277479,-0.2002049,-0.2581299,1.0031386,-0.2102186,-0.1606023,-0.2338712,-0.1008834
"C1QA",-2.4257004,0.2707736,-2.4189159,2.6118672,4.8495845,-2.554446,-2.3450542,-2.5114269,-2.4536022,-2.6489915
"C1QC",-2.0823926,-0.2829907,-1.94696,1.9546992,4.2476623,-2.1836981,-1.8936625,-2.1371445,-1.9686128,-2.2037141
"C1QB",-3.0577346,-0.3614372,-3.0283394,2.9118304,6.5094442,-3.2129599,-3.0112105,-3.1897869,-3.110376,-3.3245147
"ID3",-0.8447696,-0.9067172,2.7683126,-0.8639663,-1.018257,2.6813421,-0.8905833,-0.7465019,-0.8597749,1.2799346
"RUNX3",0.2856522,0.9041479,-0.5240511,-0.1248228,-0.3458844,-0.5488646,4.4266498,-0.4923052,1.9222493,-0.5914944
"RSRP1",0.12463059,0.26100363,0.15827239,-0.02843988,-0.05033773,-0.21418204,1.00278478,0.21052124,0.64210987,-0.15927361
"STMN1",-1.118645,-0.9846714,-0.6161405,-0.930815,-1.0157295,-0.7584733,-0.5134317,3.0080898,-0.8531904,0.5296232
"SH3BGRL3",-0.62274082,0.48394009,-0.50494991,1.03812439,0.06421458,-0.48740741,1.37583471,-0.80563557,1.09811541,-0.79124819
"CD52",3.9243773,0.740697,-1.2426624,-0.3141834,-1.0738649,-1.2539616,7.4112185,-1.2133492,7.5688895,-1.3120337
"LAPTM5",-0.5779741,0.4705045,-1.1824628,1.9660266,1.6403665,-1.4402269,-0.4869485,-1.4100543,-0.4066796,-1.5132217
"MARCKSL1",-1.1673528,-1.0545068,0.1501834,-1.2391388,-1.3738662,-0.6142655,-1.0065393,2.1102452,-1.0366298,1.5151721
"C1orf122",-0.6120894,-0.5588353,-0.2221218,-0.4300079,-0.493492,0.4576784,-0.3974826,0.9679423,-0.4521456,0.5506791
"PPT1",-0.6074043,0.9419836,-0.369517,0.4923102,0.5776242,-0.4947986,-0.3722344,-0.3537562,-0.4274367,-0.3816445
"SMAP2",0.6840788,1.0142703,-0.4181321,0.3513814,0.7736787,-0.6880401,0.4502522,-0.445411,0.710549,-0.6532608
"NFIA",-0.8950774,-0.8669465,0.2434349,-0.6850754,-0.6672181,0.1036391,-0.7281177,0.4217504,-0.7599511,0.8525184
"JAK1",0.08311299,0.30476965,1.60044815,0.1137644,-0.06689595,0.39599622,0.81686495,-0.08441155,0.89590198,-0.28305114
"DNAJC6",-0.29476497,-0.29990743,-0.18052975,-0.27359873,-0.28596339,-0.23882886,-0.18422688,6.53928415,-0.19779401,0.01521168
"ADGRL4",-0.2018796,-0.2521481,36.2724942,-0.226412,-0.2493648,0.1929673,-0.226202,-0.2129463,-0.2398156,-0.2167646
"TTLL7",-0.54653232,-0.55123965,-0.46837489,-0.52789376,-0.54711,-0.20650174,-0.39081082,6.64315921,-0.40681233,0.33709655
"LMO4",-0.5975396,-0.5665848,-0.5544465,-0.6073562,-0.621785,-0.2019303,-0.4589869,0.365201,-0.4398475,0.6867282
"ARHGAP29",-0.29556954,-0.32394114,10.38795371,-0.27035311,-0.30226696,5.33048309,-0.21503174,-0.12838984,-0.23572949,0.06623748
"CNN3",-0.9219106,-0.9816805,0.2208814,-0.9056754,-0.9564453,1.3381241,-0.7569643,-0.420496,-0.8022631,1.2403134
"PALMD",-0.17309447,-0.17982603,11.71321687,-0.17151754,-0.18463747,0.6947382,-0.14353546,-0.12098963,-0.14817014,0.02908052
"SORT1",-0.56425933,-0.30763026,1.66901777,-0.22143495,-0.0697295,-0.11510603,-0.42194551,3.77625101,-0.48392205,0.04801456
"CD53",-0.06575257,0.80283439,-0.83212737,0.78282258,0.93717232,-0.89713571,0.6339061,-0.81864384,0.66158784,-0.93271088
"C1orf162",-0.6986112,2.5763251,-0.7455181,1.3463192,0.8692834,-0.8845939,-0.5732848,-0.8221748,-0.519646,-0.8921745
"TMIGD3",-0.9714092,-0.6154371,-0.8826298,0.5399857,2.305616,-0.9772894,-0.798927,-0.8797077,-0.8652606,-0.9923259
"RHOC",-0.66028527,-0.14611439,1.08526407,-0.31065444,-0.3431481,0.69262991,-0.20371907,-0.47317127,-0.22041014,0.41953895
"OLFML3",-0.66536276,-0.13657661,-0.47382231,0.28003138,1.40736203,1.451855,-0.51045057,-0.54726575,-0.56768091,-0.64566807
"CD2",-0.330168,-0.5841194,-1.0411099,-0.9662071,-1.0278545,-1.0468715,8.3143232,-0.9368007,7.9182258,-1.0819689
"TXNIP",1.6533346,2.0127668,-0.8909386,0.6136488,-0.1064831,-0.8816739,2.0622097,-1.1634256,3.7046635,-1.0276452
"FCGR1A",-0.87679441,-0.08270675,-0.87875306,0.66197872,1.98260219,-0.92744753,-0.74193033,-0.84787442,-0.81128971,-0.94383162
"PLEKHO1",-0.24268352,0.96003505,-0.13393225,0.18728364,0.4451562,-0.36619792,-0.09323428,-0.52622748,-0.16370638,-0.25745793
"CTSS",-0.4482726,1.016919,-1.0022579,1.9652695,1.1347725,-1.1215663,-0.6561906,-1.1038702,-0.7837152,-1.219518
"S100A11",-1.4981908,0.8649385,-0.9321933,1.9538456,1.5626144,0.168649,-1.0176189,-1.6720384,-0.7828167,-1.333448
"S100A9",-1.8063238,-1.091193,-2.1101123,6.5786454,0.2068732,-2.3452898,-2.242298,-2.251576,-2.3015413,-2.5033438
"S100A4",-1.4511667,1.859134,-1.8422677,2.7006066,0.4641896,-1.7929393,0.6154314,-2.0378166,3.9664532,-2.0741689
"S100A16",-0.9661898,-0.9829259,0.6019918,-0.8795558,-0.9471674,0.4447818,-0.7309366,-0.1630229,-0.7647129,1.2222069
"S100A13",-0.68785522,-0.68187308,1.16048096,-0.55371496,-0.416701,1.61260436,-0.53287171,0.95566625,-0.58990555,0.60300086
"S100A1",-0.6297542,-0.6405916,-0.6566151,-0.5017955,-0.2476668,-0.2781564,-0.5547704,8.8198717,-0.6039353,0.1753875
"RAB13",-0.65701233,-0.45450668,1.01530232,-0.03256504,-0.20947626,1.00065935,-0.46678062,-0.4876776,-0.50020057,0.21160359
"TPM3",-0.3549584,0.7063097,1.0185613,0.4824947,0.3147194,-0.317005,0.2571328,-0.3378394,0.2886204,-0.4763968
"KRTCAP2",-0.15833464,-0.201076314,0.177009467,-0.138764809,-0.137589773,0.424658973,0.08938267,-0.175498882,0.030339212,0.114660769
"SYT11",-0.80418494,-0.75925734,-0.29504063,-0.72441647,-0.73786259,-0.44307445,-0.54148986,3.49969853,-0.61072637,0.83121603
"LMNA",-0.593952579,-0.281858912,0.791376662,0.005547297,-0.371464937,0.971444098,-0.472281024,1.19788082,-0.345372305,0.175813566
"C1orf61",-1.9726455,-2.0192388,-1.6648587,-1.9248018,-1.9590673,-0.8163894,-1.7206713,-1.1773019,-1.7229358,2.7493333
"HAPLN2",-0.3707864,-0.3598901,-0.2275186,-0.3373155,-0.3445016,-0.3355524,-0.2503343,11.2790175,-0.2614498,-0.1470554
"BCAN",-1.849483,-1.898994,-1.653762,-1.848577,-1.868805,-1.303595,-1.64178,-1.137539,-1.667588,2.49933
"NES",-1.08292516,-1.13894559,0.03054249,-1.07109991,-1.11166191,-0.03203154,-0.93040834,-0.67931212,-0.98251595,1.39075064
