"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"HSPG2",0.01717902,0.02899906,6.81365854,0.02420687,0.01154362,0.30717789,0.01135998,0.02440333,0.01308569,0.05086111
"C1QA",1.0533454,8.1955098,0.9121951,14.409153,20.3758224,0.7342844,1.0831636,0.7841244,0.6957577,0.3885164
"C1QC",0.6066908,4.5565949,0.5882927,9.5015094,14.6071211,0.4436023,0.7035687,0.4765353,0.4310891,0.2299185
"C1QB",1.3797468,9.453695,1.2292683,19.2937005,30.1449805,0.9705751,1.2773551,0.9584339,0.8588012,0.4869191
"CD52",3.90235081,1.53882133,0.12780488,0.76724383,0.22280093,0.07534552,6.46736684,0.05470636,6.60373575,0.0514527
"LAPTM5",2.5253165,4.9139383,1.0439024,8.4358945,7.6686464,0.5216228,2.6776337,0.4953071,2.8479316,0.3041478
"SMAP2",1.915009,2.3620206,0.6614634,1.5326081,2.0687439,0.2741864,1.6142964,0.4698311,2.0007387,0.3065635
"ADGRL4",0.0072332731,0.0009354537,6.0195121951,0.0050976818,0.0025280214,0.0592955863,0.0030007502,0.0026816841,0.0036935416,0.0065897588
"C1orf162",0.23598553,3.60991581,0.11707317,2.32508401,1.83385112,0.0637539,0.18476048,0.0721373,0.28978472,0.04782094
"CD2",0.39692586,0.2787652,0.08585366,0.08033833,0.05780945,0.03209987,4.91694352,0.05443819,4.71886872,0.02981003
"TXNIP",7.4593128,8.3264733,1.7297561,5.0387879,3.3688475,1.5376728,8.5378845,0.8106731,12.4287674,1.2191382
"CTSS",1.2079566,3.4911132,0.5931707,4.9716922,3.7007493,0.2938029,0.8842568,0.186377,0.7509498,0.124203
"S100A9",0.880651,1.8419083,1.0536585,14.1485732,3.554124,0.2322782,0.4652234,0.1917404,0.5446391,0.1468317
"S100A4",1.6916817,8.494855,0.7170732,10.1912627,5.5399915,1.039679,5.7916622,0.4802896,12.6729633,0.362749
"C1orf61",0.3019892,0.1543499,0.7931707,0.292362,0.2097649,2.8212216,0.6034723,1.9525342,0.5315534,10.4652107
"BCAN",0.16274864,0.08138447,0.4897561,0.11374381,0.08007432,1.1288453,0.25913621,1.27862698,0.24187421,7.25032867
"FCER1G",0.6808318,4.7165575,0.644878,8.4631486,9.1015168,0.489523,1.0731969,0.4416734,0.4756226,0.2349307
"FCGR3A",0.2450271,2.05145,0.3336585,3.8594578,5.4987817,0.2340615,0.533812,0.1995173,0.1746518,0.1051239
"PTPRC",1.8444846,4.0289991,0.4868293,2.7773253,2.9599781,0.2657156,7.8780409,0.2558327,6.3309413,0.1365444
"BTG2",3.3128391,2.5238541,1.5326829,2.4082132,4.7702546,0.9121712,2.3335119,1.1442746,2.6981849,0.7554723
"EPAS1",0.03164557,0.02525725,7.45853659,0.16563194,0.06472344,1.15827017,0.04426107,0.0466613,0.06753905,0.2790541
"IGKC",1191.161,6.481759,2.318049,0.592755,0.3439632,0.07579135,1.648162,0.1174578,1.854686,0.1356734
"DUSP2",1.30560579,1.71468662,0.18341463,0.86110953,1.05604288,0.10566206,4.57807309,0.07481899,2.26224145,0.04162558
"CXCR4",5.1916817,5.0888681,0.8565854,2.8725864,2.474933,0.3152029,11.4333941,0.25476,10.2521106,0.1922205
"ERMN",0.019891501,0.008419083,0.014634146,0.02375121,0.01818348,0.016049933,0.021219591,7.834003754,0.018467708,0.031897062
"CYTIP",0.960217,0.90364827,0.05658537,0.48274193,0.27351365,0.02764155,1.80152181,0.03110754,2.17866188,0.0276737
"COL3A1",0.005424955,0.012160898,0.52097561,0.029219115,0.025706628,30.191707535,0.014682242,0.14668812,0.010552976,0.097958982
"FN1",0.2739602,1.849392,4.4263415,6.9339295,2.9417337,24.2924654,0.3022184,0.4132475,0.2414521,1.0078058
"IGFBP2",0.2802893,0.2076707,1.2721951,0.5081164,0.190424,9.5960767,1.0901297,1.4875302,0.6855213,14.2956682
"EFHD1",0.004520796,0.002806361,0.122926829,0.018852879,0.004964669,0.247436469,0.006430179,5.272190936,0.003376952,0.030368764
"CLDND1",0.2133816,0.2871843,0.4439024,0.2657914,0.2485685,0.4061525,0.8889722,11.8522392,0.5015829,0.7132222
"GAP43",0.15641953,0.10289991,0.5102439,0.20231247,0.09438962,2.69103879,0.25592112,0.75998927,0.25707049,6.40946888
"TF",0.004520796,0.013096352,0.044878049,0.03189611,0.01276194,0.082032992,0.01211017,17.445427729,0.013718869,0.137957668
"CLDN11",0.004520796,0.012160898,0.047804878,0.027083215,0.015381335,1.615247436,0.007823384,11.034325556,0.00865344,0.149329521
"SOX2",0.15641953,0.05519177,0.44,0.12533462,0.06332237,0.94917521,0.2563498,1.50442478,0.24377374,4.84362059
"QDPR",0.06962025,0.14218896,0.12390244,0.19547759,0.176596,0.23807401,0.11188511,12.07320998,0.11281131,0.61960166
"IGFBP7",0.07142857,0.30963517,38.35121951,0.17072962,0.09807505,27.84395898,0.12260208,0.32823813,0.08843394,2.04188852
"JCHAIN",49.628390597,0.14686623,0.089756098,0.02033377,0.010812622,0.01203745,0.056585575,0.005631537,0.053503588,0.003500296
"AREG",1.32368897,9.88213283,0.37073171,6.32593837,0.63666545,0.85198395,2.17736577,0.06355591,3.38856057,0.04170775
"SPARCL1",0.10126582,0.08980355,22.39902439,0.21176739,0.13669591,13.29246545,0.1472511,0.63421829,0.17011397,5.89435023
"ABCG2",0.004520796,0.009354537,6.388292683,0.012245828,0.023818226,0.074008025,0.005036974,0.002681684,0.007176024,0.014346283
"TMEM144",0.011754069,0.118802619,0.046829268,0.172153557,0.210495858,0.029424877,0.006858858,5.636631805,0.006964964,0.046046145
"SCRG1",0.1401447,0.191768,0.3629268,0.1759412,0.1226547,0.8011592,0.1822956,1.8581389,0.2196074,5.0828732
"GPM6A",0.14647378,0.04396632,0.34146341,0.09397961,0.04696637,0.66116808,0.12881792,0.54706356,0.17634023,4.31292316
"SPCS3",1.8589512,1.0130964,1.6263415,1.1089594,0.9850146,0.6495765,0.9035473,0.9654063,0.9111439,0.7083087
"BASP1",0.83544304,3.08231993,0.14341463,1.26641795,1.37402534,0.49621043,0.06312292,0.08581389,0.08051921,0.57697364
"IL7R",0.6636528,1.22637979,0.16,0.38306658,0.21567373,0.09763709,2.70442611,0.03968892,11.63602786,0.04742654
"SELENOP",0.09584087,0.16838167,0.83219512,1.70123028,0.91818957,0.73250111,0.05990783,18.42826495,0.06110173,0.51868468
"GZMK",0.55877034,0.22076707,0.10536585,0.08563536,0.04797149,0.03209987,7.63648055,0.03754358,0.87948501,0.01687701
"GZMA",0.50994575,0.20392891,0.09756098,0.08680298,0.05802266,0.05037896,7.89057979,0.03325288,1.59962009,0.01764938
"EDIL3",0.006329114,0.002806361,0.419512195,0.010878852,0.005208333,0.326794472,0.002464902,6.273799946,0.005698607,0.060573194
"MZB1",9.144665461,0.032740879,0.020487805,0.008401207,0.004172758,0.004012483,0.105990783,0.002949853,0.153123681,0.003319529
"CD14",0.4240506,2.373246,0.4546341,6.2758729,7.5508955,0.3455194,0.3937413,0.3075892,0.3036091,0.1630513
"CD74",13.6410488,77.3760524,3.2029268,33.6147406,42.4148696,1.6388765,5.7898403,1.8420488,3.7452512,0.9474298
"SPARC",0.08770344,0.0767072,30.62341463,0.2813123,0.16176291,14.20552831,0.12699603,2.17135961,0.14531448,2.81510879
"TUBB2B",0.3345389,0.1272217,0.5639024,0.2293387,0.1391935,2.0864913,0.5577109,2.9991955,0.5099198,9.1987938
"LTB",2.13200723,2.07015903,0.1502439,0.13800763,0.08491715,0.03611235,1.39224092,0.0262805,8.41314901,0.03000723
"LST1",0.18264014,3.34424696,0.11804878,2.10682349,2.46016082,0.09184128,0.14510771,0.09332261,0.26551287,0.11016893
"AIF1",0.6175407,7.1889616,0.6087805,7.4656262,8.9892178,0.4235399,0.783303,0.4325556,0.4895526,0.2392526
"HSPA1B",5.212477,5.006548,1.521951,5.861537,5.918281,1.244761,4.583753,1.506302,4.752955,1.533097
"HLA-DRA",10.7775769,77.1983162,1.8487805,26.4114313,30.724598,1.1908159,3.1261387,1.1343524,1.911355,0.7057615
"HLA-DRB1",6.494575,50.5977549,1.404878,15.1914906,16.082115,0.6665181,4.0737327,0.6682757,2.2138033,0.3734635
"HLA-DQA1",2.15641953,17.4303087,0.16195122,2.68895597,2.68058601,0.05216228,0.51580752,0.05470636,0.3425496,0.03462499
"HLA-DQB1",1.8047016,12.4443405,0.3658537,3.584724,4.1462293,0.2032992,0.740971,0.130598,0.4647531,0.0791757
"HLA-DMB",0.63562387,2.47146866,0.08780488,1.67958649,2.43679946,0.05483727,0.21819741,0.06006972,0.08822288,0.03104253
"HLA-DMA",0.90687161,5.04396632,0.3102439,2.89081278,3.74780702,0.19349086,0.53306184,0.14052025,0.31120726,0.09061329
"HLA-DPA1",3.8426763,41.8409729,0.9512195,11.5321809,14.4315302,0.5742309,2.4322152,0.5486726,1.2477839,0.3405476
"HLA-DPB1",3.619349,40.6950421,0.7346341,10.1569459,11.6388584,0.5818101,2.7235023,0.4993296,1.1827775,0.3088477
"TREM2",0.18896926,1.44527596,0.30146341,3.04046819,5.3275463,0.22024075,0.14510771,0.15929204,0.11333896,0.09064616
"FABP7",0.2287523,0.1150608,0.542439,0.2576465,0.1195175,1.6897013,0.4629729,0.7312953,0.4012241,8.5714356
"CCN2",0.0009041591,0.005612722,12.61951,0.01352737,0.01349293,2.378511,0.004072447,0.02788951,0.008125791,0.09281536
"TNFAIP3",0.9529837,1.5893358,0.5668293,2.5047844,2.5350268,0.7547927,3.4536491,0.1252346,5.43626,0.1316637
"RNASET2",1.3933092,5.1365762,0.6107317,5.6306601,9.983644,0.7405261,1.2148751,0.5087155,1.4552554,0.4239466
"ANLN",0.011754069,0.019644528,0.072195122,0.04536652,0.022660819,0.09674543,0.027221091,5.735854116,0.009286619,0.104088608
"IGFBP3",0.01265823,0.01683817,9.7297561,0.04294583,0.01294469,1.10699955,0.03182939,0.05497452,0.03915154,0.94264774
"FGL2",0.12206148,2.97754911,0.10341463,1.2291109,1.23102461,0.17788676,0.08252063,0.04934299,0.09655973,0.03779662
"GNG11",0.003616637,0.014031805,6.355121951,0.021871618,0.018548977,1.569326794,0.01221734,0.049611156,0.023955255,0.300253073
"COL1A2",0.02983725,0.03274088,0.58341463,0.04035427,0.03027534,23.45653143,0.02582789,0.19549477,0.03292528,0.38154868
"PTPRZ1",0.6980108,0.2488307,2.0712195,0.4706954,0.3047332,3.3807401,0.9553103,2.2512738,0.8487759,24.1631171
"CALD1",0.08499096,0.02806361,5.55121951,0.12151848,0.05193104,18.23851984,0.09881042,1.51488335,0.14478683,2.67688819
"PTN",0.5913201,0.2469598,2.6341463,0.5918152,0.3054946,12.3062862,1.0102883,6.6427997,0.8515196,23.6725498
"TRBC2",0.47649186,0.19363891,0.08195122,0.05946346,0.03855994,0.02496656,3.08895081,0.02681684,3.5067539,0.02346677
"ANGPT2",0.0596745,0.0383536,12.28878049,0.02941847,0.03554459,0.59028087,0.05658557,0.33762403,0.05508653,0.10004601
"CLU",0.7911392,0.4097287,2.0604878,0.8996127,0.4874208,8.2559073,1.1412496,11.5679807,1.0221612,24.4971242
"PMP2",0.1925859,0.1000935,0.5746341,0.1594521,0.1185429,1.2492198,0.3308327,2.0488067,0.2705783,7.4443404
"TPM2",0.1039783,0.05706268,0.61170732,0.04397107,0.03944323,9.1685243,0.02979316,0.10002682,0.02691009,0.43982121
"PTGDS",0.7459313,0.0888681,0.7580488,0.1380931,0.0755056,11.7079804,0.3379059,33.6015017,0.1408822,0.9874614
"SRGN",3.3300181,12.6417212,6.1765854,18.1130318,16.5963389,1.5189478,10.6768835,0.823277,13.0841072,0.5170413
"PPA1",0.5253165,3.9008419,1.1619512,0.7478499,0.732913,1.0276416,0.6050798,1.8554572,1.0365133,0.6745382
"RGS10",0.3688969,4.515435,0.3843902,2.8061742,4.4151438,0.4725814,1.2327725,0.1981765,1.4205361,0.1292809
"NKX6-2",0.004520796,0.003741815,0.012682927,0.021415959,0.005543372,0.022737405,0.005036974,9.309198176,0.003588012,0.033556826
"IFITM3",0.2775769,2.6342376,7.9990244,1.8525944,1.3184698,17.7213553,0.3773443,1.5202467,0.2898902,2.3288963
"LSP1",0.8761302,3.11880262,0.05853659,1.36270433,0.81810429,0.09094962,1.54345729,0.05846071,1.20620515,0.05986656
"MS4A6A",0.36347197,4.4565014,0.28097561,3.6373811,4.01550317,0.2082033,0.17286464,0.15044248,0.12684677,0.07437718
"CRYAB",0.08589512,0.09822264,0.2097561,0.26394031,0.10833942,2.06732055,0.10031079,21.11987128,0.179084,2.61342273
"TAGLN",0.04249548,0.04770814,1.48097561,0.05946346,0.05604288,17.52608114,0.03825956,0.09707696,0.03735753,0.32099191
"CD3E",0.25316456,0.1253508,0.08390244,0.05391012,0.03527047,0.02095408,2.84803344,0.0262805,2.91789785,0.01993361
"CD3D",0.38065099,0.16931712,0.08097561,0.07469955,0.057779,0.03522069,4.68910085,0.03432556,4.41853103,0.0275258
"CD3G",0.17992767,0.06735267,0.03609756,0.0364527,0.02872198,0.0240749,2.53724145,0.01877179,2.19913466,0.01442845
"ESAM",0.003616637,0.003741815,4.149268293,0.005097682,0.003807261,0.206865805,0.002357732,0.0050952,0.005276488,0.006359692
"ETS1",0.6075949,0.1777362,2.6770732,0.1620152,0.1550317,0.7851092,2.9557389,0.125771,2.9105108,0.2004864
"VWF",0.017179024,0.019644528,11.369756098,0.022014012,0.010873538,0.045028979,0.017790162,0.023330652,0.019628535,0.007871557
"CD163",0.3499096,2.1852198,0.3804878,5.7046477,4.0124574,0.2550156,0.2111242,0.2083669,0.1961798,0.1035627
"CD69",2.65641953,1.0645463,0.22829268,0.56763684,1.01596004,0.05706643,5.53874183,0.09305444,7.25369354,0.05748373
"APOLD1",0.07233273,0.04677268,6.1804878,0.0265706,0.0235441,0.67186803,0.10116815,0.04880665,0.11924863,0.07820614
"MGP",0.12296564,0.05519177,5.1404878,0.0638207,0.06432749,26.31564868,0.06419462,0.57790292,0.05044322,0.69710116
"TUBA1A",1.34358,1.623012,2.877073,1.253745,1.016996,6.546144,2.397814,18.691338,2.200295,24.940364
"LYZ",0.62477396,9.36856876,0.52487805,9.04200604,1.99677144,0.16807847,0.27381845,0.09814964,0.26498523,0.13621574
"DCN",0.01084991,0.008419083,1.39902439,0.023893604,0.03603192,28.639322336,0.013396206,0.510860821,0.010025327,0.100571879
"FLT1",0.014466546,0.186155285,7.662439024,0.231673976,0.085221735,0.092732947,0.008359233,0.003218021,0.018573238,0.005932426
"LCP1",1.07233273,3.82413471,0.19512195,2.25867175,1.08686647,0.05483727,3.72586004,0.13140252,2.64774166,0.04910274
"COL4A1",0.02622061,0.01122544,16.55902439,0.03448767,0.02406189,8.75613018,0.01500375,0.04987932,0.01994512,0.36705449
"COL4A2",0.00994575,0.008419083,9.511219512,0.027083215,0.019462719,5.26883638,0.013289037,0.046929472,0.01319122,0.370423322
"TRAC",0.50723327,0.18147802,0.1004878,0.06621291,0.04081384,0.07579135,3.06483764,0.02681684,4.17148586,0.04078748
"GZMH",0.25497288,0.101029,0.04097561,0.04684741,0.03204191,0.02095408,4.52856071,0.01903996,0.30181511,0.01092815
"NOVA1",0.22061483,0.08512629,0.96878049,0.15526571,0.09706993,1.17209095,0.38088093,1.61142397,0.35130857,7.26089529
"NPC2",1.6139241,7.5219832,1.3707317,9.9059919,10.8450902,1.7311636,1.1834744,1.6811478,0.9464964,0.7014396
"IFI27",0.1609403,0.1730589,11.4390244,1.3533918,0.9805677,1.5621935,0.1578609,0.1161169,0.2082102,0.8576053
"TPM1",0.05786618,0.17680075,2.33756098,0.1978698,0.19267788,6.88497548,0.10845569,0.35451864,0.11956522,0.77877473
"CTSH",0.77396022,2.86810103,0.2897561,1.47545139,1.50018275,0.14355774,0.09538099,0.05577903,0.29579992,0.0516992
"ISG20",2.39330922,0.92797007,0.26926829,0.24710942,0.1106847,0.2875613,2.473154,1.56208099,2.1939637,0.15143298
"METRN",0.6229656,0.2273152,0.7141463,0.301703,0.2305373,1.9215337,0.7646554,2.3912577,0.6520684,9.2091961
"IL32",0.73869801,0.46117867,1.40585366,0.15612007,0.09353679,0.28845296,7.32708177,0.0611424,11.97804981,0.11102347
"MT3",0.4312839,0.3807297,1.4195122,0.9361793,0.5060307,3.8065091,1.1372843,4.7677662,0.9632756,23.3693059
