"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"VWA1","  3.2917837","  2.5869155","538.1232083","  3.5440547","  3.6707496"," 48.8061438","  0.5291913","243.3923405","  1.6866149","114.6429543"
"SLC2A5"," 33.914139"," 21.989209","  5.556612"," 92.410040","371.156548"," 18.188806","  4.568348","  6.537075","  2.131619","  3.666729"
"SRM","172.03699"," 75.72824"," 87.33262"," 63.50656"," 66.41163","220.32750"," 46.74565"," 56.69560"," 51.35565","309.53732"
"EFHD2"," 60.36494","307.15455"," 93.76291","214.49217","207.74361"," 43.29046"," 73.67183"," 19.04700"," 49.53601"," 57.18430"
"PADI2","  3.8106836"," 46.8502099","  9.2851170"," 80.4526288","286.3842339","  6.6678527","  1.0782835"," 85.3509123","  0.9033716","  4.8987142"
"MICOS10"," 48.93385","118.31928","145.29110","215.84505","246.27697","485.69381"," 23.67033"," 75.12211"," 35.46326","100.20214"
"CAMK2N1","   8.613625","   3.453969","  30.354082","   4.967154","   6.612540"," 146.969807","  10.073162","1047.380224","  10.157493"," 277.473722"
"ECE1"," 19.135207"," 20.399331","284.799087","  1.137612","  1.148620","111.447263"," 11.316535"," 20.464250"," 15.196049"," 28.199987"
"HSPG2","  2.4795547","  4.3106377","995.4700843","  1.9355138","  2.2597218"," 79.9221901","  0.6609715","  2.1793628","  2.4787786","  6.6704090"
"C1QA"," 190.17499","1253.37774","  65.61642","4871.66407","4536.59173","  87.86110","  53.92999","  62.42313","  39.68329","  24.89228"
"C1QC"," 106.212161"," 676.101072","  38.701690","3043.173128","2985.092032","  41.528476","  23.371427","  36.296039","  23.904071","   9.693339"
"C1QB"," 257.18877","1419.68219","  94.23556","6455.45848","6914.77707"," 122.28225","  56.30761","  79.40427","  50.10671","  30.53526"
"ID3"," 35.33819"," 34.71818","436.37631"," 47.02849"," 17.92055","267.59512"," 16.34328"," 48.33109"," 13.99449","108.06316"
"RUNX3"," 54.9642233","120.0180191"," 11.7680431"," 31.5292024"," 18.4190870","  3.5114569","313.6560399","  4.5412699","104.7321659","  0.2265266"
"RSRP1","199.04299","237.78511","191.15013","178.69845","188.47852","121.53386","283.92923","129.22243","222.31833"," 98.89718"
"STMN1","  58.07072"," 112.27434"," 135.59939"," 121.48787","  72.44280"," 134.35016","  54.99136"," 829.25921","  33.85011"," 380.41170"
"SH3BGRL3"," 498.4452","1323.7438"," 517.1507","1290.8167"," 988.4427"," 731.9238","1163.7982"," 238.3703"," 928.9184"," 464.5619"
"CD52","537.865647","266.168854"," 22.051270","175.804359"," 19.379147"," 10.217077","859.406104","  8.113142","776.755140","  1.364161"
"LAPTM5"," 344.50358"," 799.90673"," 129.72817","1792.55193","1399.20462","  62.19635"," 244.70247","  34.65857"," 277.63013","  15.19843"
"SDC3"," 12.109896","  8.545241"," 79.193945","223.494616"," 58.910825"," 34.319480","  3.319675"," 41.156558","  3.060357","315.811779"
