"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"SLC2A5"," 22.708262"," 25.367157"," 10.076055"," 78.909849","299.075528"," 17.313379","  7.077700"," 11.446805","  3.643337","  4.901753"
"CAMK2N1","  5.054484","  1.559383"," 19.031870","  2.196291","  2.683832"," 81.060974","  8.487473","848.144460","  7.021709","147.148516"
"HSPG2","   2.196909","   4.937085","1290.475161","   2.074493","   2.237219","  85.165751","   1.423105","   5.463979","   4.450018","   8.732529"
"C1QA"," 106.46184"," 946.45501","  85.96268","3140.43975","2814.27345","  76.66340","  68.79187","  81.89104","  37.83633","  23.58495"
"C1QC","  48.16716"," 439.34664","  35.21205","1653.14495","1597.98274","  27.26148","  21.08114","  37.99721","  17.58815","   7.30069"
"C1QB"," 142.93525","1040.10014"," 125.56917","4024.25934","4168.06218"," 100.13543","  72.62796","  98.49333","  50.14581","  29.33947"
"RUNX3"," 18.8580545"," 37.3994254","  4.7575580","  9.7710818","  5.1011746","  2.0440112","202.5916066","  5.8552470"," 56.0374477","  0.2083005"
"CD52","1122.006728"," 380.640810","  33.672713"," 209.999567","  23.250942","  15.792702","2334.495351","  24.644241","1644.199442","   2.577350"
"LAPTM5"," 315.98408"," 602.93582"," 122.32213","1226.60292"," 911.46049","  55.99125"," 314.41335","  54.33224"," 287.80018","  17.73592"
"MARCKSL1"," 39.274321"," 54.326805","221.967507","  6.745816","  5.796296"," 94.324724"," 30.449132","481.747456"," 24.627646","434.676726"
"MFSD2A","  4.754895","  9.060899","419.842310","  3.799103","  5.477775","  6.803224","  2.594228"," 10.546380","  1.003224"," 14.043476"
"SMAP2","167.97591","205.43052"," 65.15808","129.56512","215.46936"," 20.56235","189.38132"," 43.16407","168.41883"," 28.82569"
"TTLL7","  0.7192733","  1.0635308","  1.3138837","  0.3686338","  0.1862653","  9.4485267","  0.4378510","236.2908822","  0.6214114"," 14.0018936"
"ARHGAP29","  0.36301088","  0.00000000","124.80915168","  0.16546578","  0.09029090"," 52.52841831","  0.11592898","  1.38951595","  0.09360125","  2.90303479"
"F3","  2.0167756","  0.8472341"," 25.6256366","  1.0238668","  0.9999772","261.0423930","  1.2555677"," 25.8332213","  1.1675400"," 83.0508436"
"CNN3"," 11.428120","  4.481802","183.489459","  4.134310","  4.430682","227.814945","  4.553644","110.580273","  4.692699","300.746947"
