"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"VWA1",3.287345,2.658853,528.279749,4.778161,4.220203,57.373349,1.257102,285.592625,2.611137,72.44656
"SLC2A5",31.926151,24.638339,6.989698,119.972828,270.07905,12.720903,3.61981,5.770654,2.974092,5.516015
"EFHD2",59.87898,299.7352,93.35484,247.97507,175.88926,58.97815,85.72693,22.23968,86.32057,43.18519
"MICOS10",46.94701,119.27236,145.28107,211.21122,232.06891,399.87143,34.08163,62.54321,37.3184,156.05197
"CAMK2N1",9.419916,3.372929,32.412414,15.946179,7.33649,225.635876,9.493856,1264.56565,15.17258,299.088975
"ECE1",19.231443,19.251152,279.427409,10.147273,1.568057,115.229254,11.257048,20.293255,15.247831,32.282485
"HSPG2",3.298707,4.182916,980.754101,3.806656,1.816861,50.73027,1.430125,2.833714,1.69355,6.498421
"C1QA",188.32441,1343.30753,80.49405,2562.45285,3628.23079,88.55537,60.38953,75.93678,47.14075,42.46933
"C1QC",102.07282,735.57127,45.73625,1683.74817,2559.48199,45.42906,33.61805,41.88499,24.15591,23.03244
"C1QB",252.36937,1546.26892,110.33045,3457.09457,5381.84259,118.7003,72.98946,96.5355,57.78119,52.73862
"ID3",34.04103,34.93097,432.02818,38.37817,20.65849,482.14933,14.23418,34.83293,24.25347,271.73493
"RUNX3",68.054345,115.276295,11.684184,36.086845,21.104766,3.480195,278.019932,2.096078,147.242413,1.964273
"RSRP1",199.05652,239.04573,190.44707,170.78273,173.50622,129.0035,252.68293,152.33638,225.49048,122.203
"STMN1",63.82323,112.96917,137.59941,120.62819,92.10322,166.72335,114.65823,958.71683,52.36922,455.12948
"SH3BGRL3",506.2878,1311.3776,517.9456,1590.1784,1019.5732,623.0684,1081.2509,271.481,1123.311,351.2691
"CD52",538.740146,259.381123,21.615018,139.056905,40.071765,12.020158,789.840939,6.923866,860.010251,6.930938
"LAPTM5",343.38854,818.42721,134.10273,1450.59992,1338.73219,54.97734,245.90014,40.18771,314.2084,32.71858
"MARCKSL1",79.10226,153.54951,443.79802,58.12588,17.59884,260.87434,37.81652,847.73712,47.59299,767.80868
"C1orf122",59.59425,70.7807,116.71748,94.91352,82.91366,326.16374,34.71423,314.14748,39.10157,281.37283
"PPT1",39.04894,394.91973,70.32769,287.45276,310.4662,64.06037,32.3472,59.21818,36.68871,74.34641
