"","TCGA-26-5133","TCGA-HT-7902","TCGA-VM-A8CF","TCGA-14-1823","TCGA-DU-6393","TCGA-HT-7601","TCGA-14-0789","TCGA-28-2499","TCGA-02-2483","TCGA-TQ-A7RW","TCGA-DU-A6S8","TCGA-32-1970","TCGA-28-5204","TCGA-HT-7480","TCGA-DU-7010"
"5S_rRNA",11,0,4,0,3,0,4,1,4,1,1,3,3,1,5
"5_8S_rRNA",8,0,0,2,0,0,1,1,3,0,0,2,1,0,0
"7SK",0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
"A1BG",24,52,25,1,33,6,12,18,81,22,31,98,25,15,48
"A1BG-AS1",77,89,38,7,72,17,88,32,57,45,57,222,73,48,118
"A1CF",0,3,1,0,4,2,0,1,1,1,3,0,0,4,1
"A2M",75396,36243,20502,20106,16941,84180,97252,18876,53114,39495,13571,23579,33050,27469,47899
"A2M-AS1",26,163,19,29,31,52,86,20,29,44,42,21,15,57,42
"A2ML1",170,717,290,280,351,88,30,858,18,367,140,939,108,1137,345
"A2ML1-AS1",0,2,0,1,3,1,0,0,0,1,0,0,0,0,0
"A2ML1-AS2",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"A2MP1",12,214,19,13,46,45,5,5,12,47,63,5,10,119,51
"A3GALT2",4,8,0,1,19,5,5,0,4,13,3,9,1,6,29
"A4GALT",288,433,180,490,294,628,159,220,248,156,211,240,145,186,331
"A4GNT",1,1,0,2,3,7,0,3,2,1,5,7,0,4,1
"AAAS",2962,3444,1789,2195,5764,1944,1253,2203,3437,2020,3715,2863,2399,3856,3076
"AACS",701,1781,347,713,2244,1011,662,835,1396,878,1717,1373,1476,2214,1079
"AACSP1",0,8,0,1,17,2,0,0,1,5,3,1,2,13,4
"AADAC",1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL2-AS1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,3,3,0,1,0,0,1,0,0,0,0,0
"AADACL4",0,0,0,0,3,0,0,0,0,8,0,0,0,0,0
"AADACP1",12,3,9,4,0,4,2,10,3,3,2,4,4,2,5
"AADAT",681,1263,299,282,1409,814,279,278,804,625,604,482,533,1083,917
"AAGAB",2932,1884,1000,3056,1170,2059,1494,3098,2739,1222,1626,2070,2318,1712,2673
"AAK1",2057,4577,1063,903,4061,4043,1698,1525,1895,2424,2324,2350,1455,6317,3746
"AAMDC",256,344,486,174,584,366,211,257,246,299,353,214,350,277,242
"AAMP",6542,8489,4568,3717,14672,6761,3846,7273,6309,5249,9499,8008,6634,9893,7383
"AANAT",20,66,33,7,155,51,23,30,22,55,18,81,14,39,31
"AAR2",2792,3896,1061,1837,5478,3296,1677,2510,3217,1720,2656,2263,2681,3233,3958
"AARD",1,38,3,0,9,13,2,0,1,1,1,5,1,25,13
"AARS",16906,22452,8006,4080,27830,17689,7241,14016,11516,12980,16055,15579,8708,26884,18704
"AARS2",1893,1789,864,308,2075,1272,750,1284,1069,1123,1715,1466,1181,1909,1766
"AARSD1",49,133,46,30,112,20,22,45,53,80,185,96,20,173,23
"AARSP1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AASDH",420,1196,407,470,2332,839,494,846,647,981,569,872,721,1239,2052
"AASDHPPT",3787,4429,794,1926,8038,5063,1710,2774,4504,3402,4674,2535,2793,5328,4628
"AASS",2238,7223,1481,967,3393,3467,2207,1569,1455,4198,1571,4944,3460,4866,4259
"AATBC",30,107,7,16,121,31,19,9,14,60,53,49,20,121,42
"AATF",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AATK",456,47132,2109,79,5078,7278,497,324,819,3282,7193,1243,469,7514,7951
"ABALON",40,45,1,7,32,44,13,20,26,35,11,28,32,21,28
"ABAT",8706,18808,6849,4365,70660,15823,3393,15695,8527,13026,35838,15464,4912,66310,33004
"ABBA01000933.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABBA01000935.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABBA01000935.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABBA01006766.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABBA01026962.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABBA01045074.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABBA01045074.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA1",5027,6880,4495,6064,5695,4221,10697,4430,5804,6726,2605,3171,1877,11903,5591
"ABCA10",17,86,26,84,14,23,22,34,5,24,23,15,4,48,33
"ABCA11P",39,127,61,91,105,44,25,44,78,49,46,59,48,86,101
"ABCA12",237,19,8,24,72,35,38,8,38,45,10,98,63,42,45
"ABCA13",572,21,29,146,11,36,1006,8,13,55,2,488,3,19,41
"ABCA17P",77,173,356,133,369,113,45,274,88,174,229,114,13,185,70
"ABCA2",6039,176555,14794,1102,23682,33921,5381,9307,5526,14775,10686,9604,3849,26981,29623
"ABCA3",8653,15701,3323,1584,24350,22818,5517,5206,6950,9237,11727,11356,3822,18651,12243
"ABCA4",22,45,5,14,23,33,65,6,67,40,19,62,33,29,19
"ABCA5",194,1501,136,1586,159,277,724,1982,155,238,204,581,61,726,396
"ABCA6",31,654,88,33,111,263,470,53,24,126,24,92,16,74,91
"ABCA7",736,969,278,159,392,522,332,533,160,300,222,1295,200,414,194
"ABCA8",773,13478,545,3410,1558,3367,2719,1316,178,1418,372,1240,450,4157,3796
"ABCA9",61,511,90,27,97,151,100,23,50,206,116,85,62,204,110
"ABCA9-AS1",0,0,1,0,0,1,0,0,1,1,0,0,0,4,0
"ABCB1",1699,3363,327,130,2144,3147,453,898,684,1193,1154,1875,1155,2279,2672
"ABCB10",343,958,355,509,1098,743,534,655,1040,692,924,881,977,1149,1275
"ABCB10P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB10P3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ABCB10P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB11",0,1,1,0,2,1,1,0,0,4,0,2,0,0,1
"ABCB4",701,242,54,99,265,235,213,110,402,200,91,352,223,118,253
"ABCB5",2,1,0,1,4,2,1,6,7,2,0,4,3,1,0
"ABCB6",107,149,51,40,138,41,40,90,77,234,240,155,34,244,64
"ABCB7",1644,1853,495,1957,1941,1556,1321,1947,1967,1524,1444,1386,2138,1566,2218
"ABCB8",1396,4309,1671,1489,4061,2356,1772,3630,1383,1657,2998,4452,5587,4054,1986
"ABCB9",515,1107,468,278,961,389,548,840,651,275,1011,591,879,743,410
"ABCC1",232,147,101,143,140,280,193,113,282,121,123,160,50,176,243
"ABCC10",1147,2183,614,290,1080,1152,906,766,706,1157,1582,1784,872,1812,1922
"ABCC11",167,141,31,7,159,122,23,39,12,37,11,78,16,129,66
"ABCC12",2,29,1,2,9,20,0,9,6,2,6,22,0,61,17
"ABCC13",1,0,0,0,1,4,13,0,2,0,1,0,0,2,5
"ABCC2",41,88,25,15,51,66,11,11,16,56,28,20,22,71,58
"ABCC3",92,20,1007,2224,70,426,11551,4591,412,147,29,837,993,28,86
"ABCC4",775,1596,254,1509,970,2333,704,567,1265,1293,807,1371,831,2373,1817
"ABCC5",1749,4649,1382,753,6882,2184,980,1364,2009,4341,6189,2684,1281,7461,3110
"ABCC5-AS1",0,0,0,0,1,1,1,0,0,2,0,0,0,0,0
"ABCC6",3,31,6,0,82,22,11,46,9,14,2,9,8,51,12
"ABCC6P1",3,38,31,12,66,26,10,89,49,5,29,27,11,67,10
"ABCC6P2",0,1,4,0,1,1,0,1,0,0,0,1,1,0,3
"ABCC8",158,1139,333,62,8495,292,75,18,202,1581,2587,1079,259,7041,201
"ABCC9",106,2397,464,1010,1354,943,194,377,584,692,478,267,214,1998,649
"ABCD1",715,753,514,378,1205,667,857,981,1196,1087,1040,1173,1009,636,421
"ABCD1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD1P3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ABCD1P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD1P5",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"ABCD2",606,495,40,559,500,266,407,647,140,100,100,389,474,773,499
"ABCD3",4045,6976,1650,3652,3754,5470,3475,6331,3717,3460,1922,4860,5291,3917,11050
"ABCD4",2219,4542,1555,1372,4840,2974,2606,1463,1919,2087,2122,3735,2964,4496,2874
"ABCE1",4728,4298,903,2120,3766,3671,2373,2896,4271,2748,2027,2495,3515,4267,3738
"ABCF1",0,0,2,1,0,0,0,0,0,0,1,1,0,2,0
"ABCF2",2052,1463,1053,944,1509,1312,1045,1764,1680,1202,1206,2288,2124,1723,1664
"ABCF2P1",9,4,1,4,7,9,8,11,8,3,3,8,14,10,11
"ABCF2P2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABCF3",3385,4894,1930,949,5372,3132,2039,2843,2743,2905,4457,3773,3235,4443,4336
"ABCG1",989,4597,1237,549,15900,2072,1691,813,2450,2031,4664,762,793,5627,1695
"ABCG2",2374,5757,846,705,4250,3294,520,3294,2630,2784,2365,3357,3096,4717,5056
"ABCG4",19,176,11,17,116,119,29,56,45,18,91,141,126,395,90
"ABCG5",5,31,17,20,13,20,1,13,9,20,7,6,3,23,22
"ABCG8",6,13,0,0,6,4,2,1,5,1,2,6,2,22,7
"ABHD1",36,199,112,60,52,99,46,129,48,124,101,113,77,177,37
"ABHD10",2080,2624,1709,2367,3378,2126,1026,3733,2712,1634,2556,1468,2118,2611,2839
"ABHD11",769,989,767,1674,1318,991,552,2864,646,680,973,974,1786,921,552
"ABHD11-AS1",4,3,4,12,8,1,9,18,6,3,2,7,3,2,2
"ABHD12",4647,9566,7154,3475,8689,7371,3165,4227,5856,4279,6845,5189,5648,7235,3993
"ABHD12B",16,167,42,33,44,221,37,21,18,46,20,29,45,107,55
"ABHD13",1150,1084,239,965,1247,1177,732,623,1429,751,937,916,1389,1090,1003
"ABHD14A",441,528,591,337,874,320,136,753,361,236,824,307,474,511,394
"ABHD14A-ACY1",5,4,0,2,6,4,0,5,3,0,3,3,1,4,2
"ABHD14B",1130,1046,1657,867,1194,1522,1231,2473,810,823,2226,1283,1310,1395,874
"ABHD15",242,427,283,386,297,610,492,737,484,546,223,577,621,309,403
"ABHD15-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD16A",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17A",4323,5528,1853,1357,3781,2170,2011,2788,3108,2170,2152,4107,2616,2643,2489
"ABHD17AP1",80,120,81,27,116,93,102,72,43,58,87,90,64,72,105
"ABHD17AP3",64,14,13,11,20,12,18,38,39,8,18,50,42,7,30
"ABHD17AP4",5,39,10,1,25,23,2,1,5,8,9,8,10,25,16
"ABHD17AP5",10,3,1,3,2,2,3,14,7,2,1,4,7,4,0
"ABHD17AP6",10,19,2,3,2,1,1,6,10,1,2,12,9,4,1
"ABHD17AP7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17AP8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17AP9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17B",998,5819,532,589,2542,2139,635,1053,1943,1098,744,973,1269,1987,3027
"ABHD17C",1276,2302,807,2462,627,2152,1877,1694,1186,1059,1326,2162,1919,1770,1470
"ABHD18",538,974,247,445,717,676,395,491,335,591,400,599,315,829,589
"ABHD2",11295,11058,1023,1329,19349,13473,9442,6090,5920,5864,13312,8584,11590,20015,19395
"ABHD3",691,1209,383,642,967,815,439,939,644,508,627,1501,872,1082,1381
"ABHD4",10651,4880,1615,3061,14735,7900,3500,3011,2697,3985,3581,7035,4764,9543,5655
"ABHD5",2547,3136,767,1511,2412,2850,1997,2301,1472,1435,1519,1826,1723,2742,2499
"ABHD6",2750,6791,697,955,6250,5356,645,1541,1373,3564,4381,1036,1167,2842,2960
"ABHD8",1855,1442,970,668,996,779,1091,1267,403,683,412,1855,853,1372,432
"ABI1",3470,7422,2540,2583,5869,6935,2640,2705,5369,5124,5696,2602,2865,10566,8013
"ABI1P1",0,0,0,1,0,0,0,0,0,2,0,1,0,0,0
"ABI2",6233,13706,3936,3645,24748,11355,5258,7565,8171,8419,8578,9448,10960,22975,15513
"ABI3",569,466,2010,938,332,2730,1561,834,1548,787,316,855,1313,240,736
"ABI3BP",860,3343,666,282,1657,5969,2084,227,757,6361,269,752,38,5845,2409
"ABITRAM",1955,1425,726,1747,1127,1376,960,1064,978,823,591,1146,1259,1216,2919
"ABITRAMP1",1,5,0,1,0,0,1,0,0,0,1,0,0,0,3
"ABL1",6279,14787,2295,1381,23600,10528,7546,2630,17287,6466,4549,7103,9269,13716,17386
"ABL2",1585,3407,1116,722,6228,3509,1713,1088,2180,2480,2645,1521,1701,5781,6129
"ABLIM1",2134,20539,11751,1628,24475,23043,3197,5612,4460,14365,8395,8180,6037,35733,20820
"ABLIM2",150,1563,347,131,799,388,128,452,202,238,748,714,604,1505,845
"ABLIM3",1288,3460,1919,1164,743,8214,573,288,590,5581,1333,1647,304,4979,1725
"ABO",4,21,1,3,23,7,3,4,55,11,4,4,3,28,8
"ABR",80,46,9,15,230,70,72,36,17,77,9,43,16,29,18
"ABRA",1,0,1,1,0,2,1,0,1,2,0,1,1,2,1
